cfg,algo,metric,value
srvDir0p1,CLG_FedMV,acc_final,36.893516540527344
srvDir0p1,CLG_FedMV,loss_final,0.05789131523610703
srvDir0p1,FedDU_FedMV,acc_final,39.09446716308594
srvDir0p1,FedDU_FedMV,loss_final,0.0448446271125254
srvDir0p1,FedMV,acc_final,37.91783142089844
srvDir0p1,FedMV,loss_final,0.048722784692140884
srvDir0p1,FedAT_FedMut,acc_final,39.091670989990234
srvDir0p1,FedAT_FedMut,loss_final,0.04493484590136127
srvDir0p1,FedAT,acc_final,33.24483108520508
srvDir0p1,FedAT,loss_final,0.05950289062366033
srvDir0p5,CLG_FedMV,acc_final,34.812744140625
srvDir0p5,CLG_FedMV,loss_final,0.040015531911312366
srvDir0p5,FedDU_FedMV,acc_final,38.61235427856445
srvDir0p5,FedDU_FedMV,loss_final,0.058500195001618495
srvDir0p5,FedMV,acc_final,38.40134048461914
srvDir0p5,FedMV,loss_final,0.0613779235079974
srvDir0p5,FedAT_FedMut,acc_final,38.48518753051758
srvDir0p5,FedAT_FedMut,loss_final,0.05262153989638822
srvDir0p5,FedAT,acc_final,32.455284118652344
srvDir0p5,FedAT,loss_final,0.05707775108166915
srvDir1p0,CLG_FedMV,acc_final,34.565399169921875
srvDir1p0,CLG_FedMV,loss_final,0.04753645927156624
srvDir1p0,FedDU_FedMV,acc_final,38.764671325683594
srvDir1p0,FedDU_FedMV,loss_final,0.045322230062599986
srvDir1p0,FedMV,acc_final,38.2112922668457
srvDir1p0,FedMV,loss_final,0.0448548829369398
srvDir1p0,FedAT_FedMut,acc_final,38.18474197387695
srvDir1p0,FedAT_FedMut,loss_final,0.06684943935944151
srvDir1p0,FedAT,acc_final,32.41615295410156
srvDir1p0,FedAT,loss_final,0.050860138692201566
srvIID,CLG_FedMV,acc_final,45.60369110107422
srvIID,CLG_FedMV,loss_final,0.048146523216055656
srvIID,FedDU_FedMV,acc_final,46.05366134643555
srvIID,FedDU_FedMV,loss_final,0.03762901530448451
srvIID,FedMV,acc_final,26.805477142333984
srvIID,FedMV,loss_final,0.05719455089592077
srvIID,FedAT_FedMut,acc_final,41.939632415771484
srvIID,FedAT_FedMut,loss_final,0.056838760208742255
srvIID,FedAT,acc_final,37.9276123046875
srvIID,FedAT,loss_final,0.03146741983040992
