cfg,algo,metric,value
theta0,FedATMV,acc_final,39.29709243774414
theta0,FedATMV,loss_final,0.04689467586879961
theta1,FedATMV,acc_final,39.22163391113281
theta1,FedATMV,loss_final,0.04688576839819611
theta3,FedATMV,acc_final,39.22722244262695
theta3,FedATMV,loss_final,0.04684511228102985
theta5,FedATMV,acc_final,39.30687713623047
theta5,FedATMV,loss_final,0.046774403120869626
theta7,FedATMV,acc_final,39.32085037231445
theta7,FedATMV,loss_final,0.04674813734508174
theta9,FedATMV,acc_final,39.32224655151367
theta9,FedATMV,loss_final,0.04670901197908852
