du_C,FedDU_Mut_r20_acc,FedDU_Mut_r20_loss,FedDU_Mut_final_acc,FedDU_Mut_final_loss
2,56.52000045776367,0.011301809595118869,66.18000030517578,0.0029267561397684568
4,57.400001525878906,0.012927318605475803,65.63999938964844,0.002731471733558415
6,56.209999084472656,0.011745590713044459,66.11000061035156,0.0026680569762067697
8,56.380001068115234,0.012026068287071857,64.76000213623047,0.0025104622678280893
10,57.58000183105469,0.011741820815070109,65.25,0.0025520885345039213
12,55.810001373291016,0.012652831865169785,65.16000366210938,0.0022876570411111147
