base_radius,FedMut_new_r20_acc,FedMut_new_r20_loss,FedMut_new_final_acc,FedMut_new_final_loss
1.0,10.0,0.025067013929389686,10.0,0.025067013929389686
2.0,10.0,0.02333904215650903,10.0,0.02333904215650903
3.0,10.0,0.02134775694603649,10.0,0.02134775694603649
