radius,FedDU_Mut_r20_acc,FedDU_Mut_r20_loss,FedDU_Mut_final_acc,FedDU_Mut_final_loss
1,34.7400016784668,0.008574223479788335,45.90999984741211,0.001977229068163616
2,36.08000183105469,0.013230893872517442,46.88999938964844,0.009078354988464791
3,34.849998474121094,0.010227518176900152,45.47999954223633,0.0031047563669664227
4,33.7599983215332,0.011766786457474086,43.97999954223633,0.00362506012363278
5,5.0,,5.0,
