du_C,FedDU_Mut_r20_acc,FedDU_Mut_r20_loss,FedDU_Mut_final_acc,FedDU_Mut_final_loss
2,53.7599983215332,0.008063420942154162,63.0099983215332,0.002792771514346987
4,53.41999816894531,0.00937469059745734,62.72999954223633,0.0024408985585015596
6,56.38999938964844,0.007094114820498537,63.31999969482422,0.001465731416757971
8,57.34000015258789,0.007224261852299753,64.8499984741211,0.0025566484188042087
10,54.650001525878906,0.007460947521358527,63.220001220703125,0.0017200311151051605
12,57.02000045776367,0.007124056790293743,63.68000030517578,0.0015495719782709213
