radius,FedMut_new_r20_acc,FedMut_new_r20_loss,FedMut_new_final_acc,FedMut_new_final_loss
4,35.63999938964844,0.009988096863366498,10.0,0.013222564546444224
5,29.34000015258789,0.0083881072733303,10.0,562068.625098317
6,18.850000381469727,0.01178384681334731,10.0,74068744816884.67
