du_C,FedDU_Mut_r20_acc,FedDU_Mut_r20_loss,FedDU_Mut_final_acc,FedDU_Mut_final_loss
5,33.34000015258789,0.010903715089791873,53.599998474121094,0.003016881328467371
6,35.45000076293945,0.009393107500742891,51.86000061035156,0.0034287815038845106
7,37.40999984741211,0.0104369853610621,52.689998626708984,0.0033794195425808776
8,35.380001068115234,0.009561735238881621,50.849998474121094,0.004599440683124815
9,37.310001373291016,0.009161560712559946,52.40999984741211,0.0033278290571466325
