radius,CLG_Mut_2_r20_acc,CLG_Mut_2_r20_loss,FedDU_Mut_r20_acc,FedDU_Mut_r20_loss,CLG_Mut_2_final_acc,CLG_Mut_2_final_loss,FedDU_Mut_final_acc,FedDU_Mut_final_loss
3,49.79999923706055,0.004656463620432326,55.060001373291016,0.00438476973420177,58.88999938964844,0.0013543419109758993,61.029998779296875,0.002375388270389377
4,51.810001373291016,0.004454179328511635,58.939998626708984,0.00442494181352427,61.040000915527344,0.0010408736914501056,62.650001525878906,0.0012583781506372046
5,51.2400016784668,0.007728338281418019,56.75,0.007898607522915267,57.68000030517578,0.002407815453791577,64.41000366210938,0.0022942159360463334
6,37.59000015258789,0.061902177568941695,13.460000038146973,0.10723468298801596,43.2400016784668,0.02153283838837861,19.989999771118164,0.03524070824039489
