cfg,algo,metric,value
srvDir0p1,CLG_FedMV,acc_final,35.61000061035156
srvDir0p1,CLG_FedMV,loss_final,0.005482734474231237
srvDir0p1,FedDU_FedMV,acc_final,46.79999923706055
srvDir0p1,FedDU_FedMV,loss_final,0.0029957930452669704
srvDir0p1,FedMV,acc_final,35.380001068115234
srvDir0p1,FedMV,loss_final,0.004334080484001144
srvDir0p1,FedAT_FedMut,acc_final,40.779998779296875
srvDir0p1,FedAT_FedMut,loss_final,0.00926621155749426
srvDir0p1,FedAT,acc_final,40.70000076293945
srvDir0p1,FedAT,loss_final,0.0020467948917945204
srvDir0p5,CLG_FedMV,acc_final,54.18000030517578
srvDir0p5,CLG_FedMV,loss_final,0.00200820856067515
srvDir0p5,FedDU_FedMV,acc_final,55.06999969482422
srvDir0p5,FedDU_FedMV,loss_final,0.0024403556290555207
srvDir0p5,FedMV,acc_final,20.639999389648438
srvDir0p5,FedMV,loss_final,0.012838683583284369
srvDir0p5,FedAT_FedMut,acc_final,48.810001373291016
srvDir0p5,FedAT_FedMut,loss_final,0.00605272890382208
srvDir0p5,FedAT,acc_final,47.209999084472656
srvDir0p5,FedAT,loss_final,0.001942612129846283
srvDir1p0,CLG_FedMV,acc_final,53.5
srvDir1p0,CLG_FedMV,loss_final,0.002219293620443295
srvDir1p0,FedDU_FedMV,acc_final,54.13999938964844
srvDir1p0,FedDU_FedMV,loss_final,0.0024242990793699117
srvDir1p0,FedMV,acc_final,14.670000076293945
srvDir1p0,FedMV,loss_final,0.013610739350970935
srvDir1p0,FedAT_FedMut,acc_final,50.0
srvDir1p0,FedAT_FedMut,loss_final,0.006275957874106983
srvDir1p0,FedAT,acc_final,47.45000076293945
srvDir1p0,FedAT,loss_final,0.0020187614239407306
srvIID,CLG_FedMV,acc_final,61.720001220703125
srvIID,CLG_FedMV,loss_final,0.00177368853554469
srvIID,FedDU_FedMV,acc_final,58.91999816894531
srvIID,FedDU_FedMV,loss_final,0.003415185136189623
srvIID,FedMV,acc_final,13.9399995803833
srvIID,FedMV,loss_final,0.023302663452788336
srvIID,FedAT_FedMut,acc_final,55.599998474121094
srvIID,FedAT_FedMut,loss_final,0.002912994908370738
srvIID,FedAT,acc_final,53.47999954223633
srvIID,FedAT,loss_final,0.0018927482595106676
