algo_metric,pos,run1,run2,run3,mean,std
FedMut,acc_round20,24.137786865234375,24.137786865234375,24.137786865234375,24.137786865234375,0.0
FedMut,acc_final,38.03242111206055,38.03242111206055,38.03242111206055,38.03242111206055,0.0
FedMut,loss_round20,0.06835119789360007,0.06835119789360007,0.06835119789360007,0.06835119789360007,0.0
FedMut,loss_final,0.048122481971898355,0.048122481971898355,0.048122481971898355,0.048122481971898355,0.0
Server_only,acc_round20,31.10955810546875,31.10955810546875,31.10955810546875,31.10955810546875,0.0
Server_only,acc_final,30.487703323364258,30.487703323364258,30.487703323364258,30.487703323364258,0.0
Server_only,loss_round20,0.054841903001950944,0.054841903001950944,0.054841903001950944,0.054841903001950944,0.0
Server_only,loss_final,0.000562241745188582,0.000562241745188582,0.000562241745188582,0.000562241745188582,0.0
FedAvg,acc_round20,18.908607482910156,18.908607482910156,18.908607482910156,18.908607482910156,0.0
FedAvg,acc_final,31.451929092407227,31.451929092407227,31.451929092407227,31.451929092407227,0.0
FedAvg,loss_round20,0.07039371190024594,0.07039371190024594,0.07039371190024594,0.07039371190024594,0.0
FedAvg,loss_final,0.051838680737818076,0.051838680737818076,0.051838680737818076,0.051838680737818076,0.0
HybridFL,acc_round20,18.907211303710938,18.907211303710938,18.907211303710938,18.907211303710938,0.0
HybridFL,acc_final,38.049190521240234,38.049190521240234,38.049190521240234,38.049190521240234,0.0
HybridFL,loss_round20,0.0718422925240206,0.0718422925240206,0.0718422925240206,0.0718422925240206,0.0
HybridFL,loss_final,0.055769248967848184,0.055769248967848184,0.055769248967848184,0.055769248967848184,0.0
CLG_SGD,acc_round20,32.21352767944336,32.21352767944336,32.21352767944336,32.21352767944336,0.0
CLG_SGD,acc_final,32.78227996826172,32.78227996826172,32.78227996826172,32.78227996826172,0.0
CLG_SGD,loss_round20,0.06878045700652419,0.06878045700652419,0.06878045700652419,0.06878045700652419,0.0
CLG_SGD,loss_final,0.046167062436569546,0.046167062436569546,0.046167062436569546,0.046167062436569546,0.0
