cfg,algo,metric,value
srvDir1p0,FedMut,acc_final,30.030000686645508
srvDir1p0,FedMut,loss_final,0.005095965041555224
srvDir1p0,Server-Only,acc_final,44.150001525878906
srvDir1p0,Server-Only,loss_final,8.30933127872413e-06
srvDir1p0,FedAvg,acc_final,36.77000045776367
srvDir1p0,FedAvg,loss_final,0.0021276602947328223
srvDir1p0,Hybrid-FL,acc_final,48.47999954223633
srvDir1p0,Hybrid-FL,loss_final,0.0018867309174853061
srvDir1p0,CLG-SGD,acc_final,49.36000061035156
srvDir1p0,CLG-SGD,loss_final,0.002163218264538163
srvDir1p0,FedCLG-C,acc_final,45.650001525878906
srvDir1p0,FedCLG-C,loss_final,0.0068766003982377415
srvDir1p0,FedCLG-S,acc_final,44.2400016784668
srvDir1p0,FedCLG-S,loss_final,0.00904766440928179
srvDir1p0,FedDU,acc_final,46.400001525878906
srvDir1p0,FedDU,loss_final,0.0019387751459917703
srvDir1p0,FedATMV,acc_final,56.880001068115234
srvDir1p0,FedATMV,loss_final,0.0022892698495144076
srvIID,FedMut,acc_final,34.18000030517578
srvIID,FedMut,loss_final,0.0050790009630960805
srvIID,Server-Only,acc_final,50.47999954223633
srvIID,Server-Only,loss_final,1.2254882720299065e-05
srvIID,FedAvg,acc_final,37.0099983215332
srvIID,FedAvg,loss_final,0.0021713499971094284
srvIID,Hybrid-FL,acc_final,50.529998779296875
srvIID,Hybrid-FL,loss_final,0.0019054590902176224
srvIID,CLG-SGD,acc_final,51.91999816894531
srvIID,CLG-SGD,loss_final,0.001955408757586824
srvIID,FedCLG-C,acc_final,55.81999969482422
srvIID,FedCLG-C,loss_final,0.004440027617930899
srvIID,FedCLG-S,acc_final,53.34000015258789
srvIID,FedCLG-S,loss_final,0.005537198277994957
srvIID,FedDU,acc_final,49.459999084472656
srvIID,FedDU,loss_final,0.001865497790895706
srvIID,FedATMV,acc_final,61.43000030517578
srvIID,FedATMV,loss_final,0.002355808880832885
