cfg,algo,metric,value
M50,FedMut,acc_final,41.20000076293945
M50,FedMut,loss_final,0.003247061313385719
M50,FedAvg,acc_final,43.13999938964844
M50,FedAvg,loss_final,0.002015764148470653
M50,Hybrid-FL,acc_final,46.91999816894531
M50,Hybrid-FL,loss_final,0.0021487746408882457
M50,CLG-SGD,acc_final,49.47999954223633
M50,CLG-SGD,loss_final,0.0017400189064130291
M50,FedCLG-C,acc_final,43.72999954223633
M50,FedCLG-C,loss_final,0.007579043089120647
M50,FedCLG-S,acc_final,39.63999938964844
M50,FedCLG-S,loss_final,0.008951623232400506
M50,FedDU,acc_final,45.75
M50,FedDU,loss_final,0.002366776320677737
M50,FedATMV,acc_final,48.66999816894531
M50,FedATMV,loss_final,0.0029707417161610335
