cfg,algo,metric,value
mu0,FedATMV,acc_final,38.20430374145508
mu0,FedATMV,loss_final,0.04869525547260766
mu1,FedATMV,acc_final,38.53269958496094
mu1,FedATMV,loss_final,0.04830164372931862
mu3,FedATMV,acc_final,38.94354248046875
mu3,FedATMV,loss_final,0.047501838165390775
mu5,FedATMV,acc_final,39.22722244262695
mu5,FedATMV,loss_final,0.04684511228102985
mu7,FedATMV,acc_final,39.939910888671875
mu7,FedATMV,loss_final,0.04617365752157236
mu9,FedATMV,acc_final,40.22358703613281
mu9,FedATMV,loss_final,0.04568358817004023
