cfg,algo,metric,value
rho0,FedATMV,acc_final,31.830631256103516
rho0,FedATMV,loss_final,0.053683075831384916
rho2,FedATMV,acc_final,35.02934646606445
rho2,FedATMV,loss_final,0.05115078374524777
rho4,FedATMV,acc_final,39.22722244262695
rho4,FedATMV,loss_final,0.04684511228102985
rho6,FedATMV,acc_final,13.123252868652344
rho6,FedATMV,loss_final,0.745667808090333
rho8,FedATMV,acc_final,11.661542892456055
rho8,FedATMV,loss_final,1206.273776058587
rho10,FedATMV,acc_final,18.908607482910156
rho10,FedATMV,loss_final,1568532.6558787695
