0.18algo_metric,pos,run1,run2,run3,mean,std
CLG_Mut_2,acc_round20,36.099998474121094,37.4900016784668,36.91999816894531,36.836666107177734,0.6987384356192646
CLG_Mut_2,acc_final,51.400001525878906,51.83000183105469,51.650001525878906,51.626668294270836,0.21594766816470426
CLG_Mut_2,loss_round20,0.019654185498893015,0.01798917742778486,0.01897526349419258,0.018872875473623485,0.0008372129055866651
CLG_Mut_2,loss_final,0.004194920123529595,0.004007752774444971,0.003944190933709153,0.00404895461056124,0.00013034368082694972
FedMut,acc_round20,35.810001373291016,36.08000183105469,36.91999816894531,36.27000045776367,0.578876351394818
FedMut,acc_final,50.56999969482422,51.630001068115234,50.720001220703125,50.973333994547524,0.573614721370088
FedMut,loss_round20,0.012196999774846702,0.012253416373558885,0.012136824558456327,0.012195746902287306,5.830600401729493e-05
FedMut,loss_final,0.004729772356678773,0.00488413989222484,0.0044881466982458085,0.004700686315716474,0.00019959246166519946
FedAvg,acc_round20,36.9900016784668,37.150001525878906,36.310001373291016,36.81666819254557,0.4460195478822898
FedAvg,acc_final,51.869998931884766,51.93000030517578,51.47999954223633,51.75999959309896,0.2443359624809835
FedAvg,loss_round20,0.011564449696614446,0.011456388800793402,0.011698713845465551,0.011573184114291132,0.00012139841167804844
FedAvg,loss_final,0.0026542529710773476,0.0027326846232478795,0.0027952517254440173,0.002727396439923082,7.064797127586619e-05
HybridFL,acc_round20,40.5,40.36000061035156,39.970001220703125,40.27666727701823,0.2746507051645376
HybridFL,acc_final,53.04999923706055,52.20000076293945,52.4900016784668,52.58000055948893,0.43208702878121014
HybridFL,loss_round20,0.009255346715665216,0.00930692972747606,0.009140792882742233,0.00923435644196117,8.503414894709069e-05
HybridFL,loss_final,0.0015436344229957043,0.0014943442222350072,0.0016039632633115559,0.0015473139695140893,5.490207499331182e-05
CLG_SGD,acc_round20,40.720001220703125,40.369998931884766,40.63999938964844,40.576666514078774,0.18339490284755525
CLG_SGD,acc_final,52.65999984741211,52.4900016784668,52.380001068115234,52.51000086466471,0.14106666753123942
CLG_SGD,loss_round20,0.010316178548706903,0.010036228347873773,0.010428928215678457,0.010260445037419711,0.0002021953628393929
CLG_SGD,loss_final,0.0032362869835978123,0.0033896238357431913,0.0031976704268590105,0.003274527082066671,0.00010152958506635098
Fed_C,acc_round20,29.399999618530273,24.09000015258789,26.170000076293945,26.553333282470703,2.675674091195602
Fed_C,acc_final,30.540000915527344,27.440000534057617,27.739999771118164,28.573333740234375,1.709776219082587
Fed_C,loss_round20,0.019340447452697446,0.018870485812671242,0.019081671842481954,0.019097535035950214,0.00023538206485263129
Fed_C,loss_final,0.028095053709188057,0.02890160195058704,0.0278966391417491,0.028297764933841396,0.0005322653870365826
Fed_S,acc_round20,25.8799991607666,27.170000076293945,28.790000915527344,27.28000005086263,1.45811609585159
Fed_S,acc_final,27.469999313354492,26.399999618530273,27.190000534057617,27.019999821980793,0.554887392459903
Fed_S,loss_round20,0.01696339649409119,0.016615878268245194,0.016510685876655384,0.016696653546330587,0.00023691815031167806
Fed_S,loss_final,0.03696388928195526,0.026978264439597468,0.025367215088562226,0.02976978960337165,0.0062821312181389
FedDU,acc_round20,37.41999816894531,37.36000061035156,38.47999954223633,37.7533327738444,0.6300264843426644
FedDU,acc_final,53.95000076293945,53.56999969482422,53.90999984741211,53.81000010172526,0.20880652479090686
FedDU,loss_round20,0.01351245504780252,0.013547789424348535,0.013706337491139892,0.013588860654430315,0.00010326051962846298
FedDU,loss_final,0.0037812896471055286,0.003751389121712823,0.0037488062290464285,0.00376049499928826,1.8054940238469494e-05
FedDU_Mut,acc_round20,43.459999084472656,43.65999984741211,42.36000061035156,43.15999984741211,0.6999994005477317
FedDU_Mut,acc_final,52.029998779296875,52.16999816894531,52.380001068115234,52.19333267211914,0.17616405655893488
FedDU_Mut,loss_round20,0.010383893809612953,0.009823920730693134,0.010237409248043953,0.010148407929450013,0.00029040211485512686
FedDU_Mut,loss_final,0.003124053201869473,0.0027569508959493917,0.0029324493904610586,0.0029378178294266408,0.0001836100238430778
