cfg,algo,metric,value
srvDir0p1,CLG_FedMV,acc_final,48.93000030517578
srvDir0p1,CLG_FedMV,loss_final,0.0032017778306335978
srvDir0p1,FedDU_FedMV,acc_final,52.4900016784668
srvDir0p1,FedDU_FedMV,loss_final,0.002684383008441359
srvDir0p1,FedMV,acc_final,51.97999954223633
srvDir0p1,FedMV,loss_final,0.0035087880971956696
srvDir0p1,FedAT_FedMut,acc_final,51.5099983215332
srvDir0p1,FedAT_FedMut,loss_final,0.004061192374593301
srvDir0p1,FedAT,acc_final,51.91999816894531
srvDir0p1,FedAT,loss_final,0.003200770721988187
srvDir0p5,CLG_FedMV,acc_final,53.56999969482422
srvDir0p5,CLG_FedMV,loss_final,0.004769810679253202
srvDir0p5,FedDU_FedMV,acc_final,54.93000030517578
srvDir0p5,FedDU_FedMV,loss_final,0.0022631899162399854
srvDir0p5,FedMV,acc_final,51.029998779296875
srvDir0p5,FedMV,loss_final,0.005758959270101107
srvDir0p5,FedAT_FedMut,acc_final,53.470001220703125
srvDir0p5,FedAT_FedMut,loss_final,0.004171718277812555
srvDir0p5,FedAT,acc_final,50.029998779296875
srvDir0p5,FedAT,loss_final,0.004904531551359945
srvDir1p0,CLG_FedMV,acc_final,53.63999938964844
srvDir1p0,CLG_FedMV,loss_final,0.0024895070366813227
srvDir1p0,FedDU_FedMV,acc_final,55.189998626708984
srvDir1p0,FedDU_FedMV,loss_final,0.002265176699412818
srvDir1p0,FedMV,acc_final,51.16999816894531
srvDir1p0,FedMV,loss_final,0.0037533468676329783
srvDir1p0,FedAT_FedMut,acc_final,50.72999954223633
srvDir1p0,FedAT_FedMut,loss_final,0.007041027530618458
srvDir1p0,FedAT,acc_final,53.119998931884766
srvDir1p0,FedAT,loss_final,0.003612966591361445
srvIID,CLG_FedMV,acc_final,55.97999954223633
srvIID,CLG_FedMV,loss_final,0.0019001565421096526
srvIID,FedDU_FedMV,acc_final,55.52000045776367
srvIID,FedDU_FedMV,loss_final,0.0021773548044456558
srvIID,FedMV,acc_final,51.58000183105469
srvIID,FedMV,loss_final,0.004176609630425711
srvIID,FedAT_FedMut,acc_final,41.189998626708984
srvIID,FedAT_FedMut,loss_final,0.01378885347133712
srvIID,FedAT,acc_final,54.650001525878906
srvIID,FedAT,loss_final,0.002060359711559798
